age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Will subscribe a term deposit(yes/no)
44,management,single,tertiary,no,-1313,yes,yes,cellular,15,may,104,10,-1,0,unknown,no
49,blue-collar,married,primary,no,371,yes,no,cellular,31,jul,18,44,-1,0,unknown,no
33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,unknown,no
48,unemployed,divorced,secondary,no,1266,yes,no,telephone,3,feb,45,1,-1,0,unknown,no
55,retired,married,primary,no,8894,no,no,unknown,11,jun,262,1,-1,0,unknown,no
32,student,married,secondary,no,1694,yes,no,cellular,28,jan,929,1,-1,0,unknown,no
33,admin,married,tertiary,no,79,yes,no,cellular,22,oct,249,2,335,2,failure,no
27,blue-collar,single,primary,no,1128,yes,no,unknown,30,jun,88,4,-1,0,unknown,no
57,blue-collar,married,primary,no,179,no,no,unknown,9,jun,230,3,-1,0,unknown,no
40,services,married,secondary,no,0,no,no,unknown,12,jun,543,2,-1,0,unknown,no
40,management,married,tertiary,no,60,no,no,unknown,16,jun,172,6,-1,0,unknown,no
52,admin,single,primary,no,0,no,no,unknown,19,may,182,11,-1,0,unknown,no
44,blue-collar,married,primary,no,271,yes,yes,unknown,9,may,94,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,86,yes,no,unknown,19,may,364,1,-1,0,unknown,no
45,blue-collar,married,primary,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no
45,blue-collar,married,primary,no,0,no,no,cellular,26,aug,454,2,-1,0,unknown,no
34,entrepreneur,married,tertiary,no,475,yes,yes,cellular,9,jul,1156,1,-1,0,unknown,no
49,admin,married,primary,no,169,yes,no,cellular,15,may,82,3,-1,0,unknown,no
40,services,married,secondary,no,9374,yes,no,cellular,21,nov,7,8,185,1,failure,no
30,admin,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success,yes
48,management,married,tertiary,no,1167,yes,yes,cellular,1,jun,264,1,-1,0,unknown,no
46,entrepreneur,married,secondary,no,757,no,no,unknown,16,jun,382,3,-1,0,unknown,no
51,management,married,secondary,no,3180,yes,no,cellular,9,jul,384,1,-1,0,unknown,no
45,technician,married,secondary,no,2571,no,no,unknown,18,jun,146,2,-1,0,unknown,no
27,services,divorced,secondary,no,10,yes,no,cellular,22,jul,527,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,1020,yes,no,unknown,28,may,251,1,-1,0,unknown,no
66,retired,married,tertiary,no,2262,no,no,cellular,22,apr,155,1,-1,0,unknown,no
59,retired,married,secondary,no,1173,no,no,unknown,9,jun,77,2,-1,0,unknown,no
30,housemaid,single,secondary,no,1924,no,no,cellular,6,feb,170,1,-1,0,unknown,no
29,management,single,tertiary,no,572,no,no,cellular,16,dec,314,1,195,1,success,yes
31,self-employed,married,tertiary,no,1134,no,no,cellular,6,feb,174,2,-1,0,unknown,no
36,admin,single,tertiary,no,980,no,no,cellular,11,nov,118,4,104,7,failure,no
33,blue-collar,married,secondary,no,-77,yes,no,cellular,28,jul,151,3,-1,0,unknown,no
31,technician,single,secondary,no,1014,yes,no,cellular,23,jul,158,4,-1,0,unknown,no
32,technician,single,tertiary,no,1625,no,no,cellular,22,may,796,1,109,1,failure,no
49,technician,married,tertiary,no,3726,no,no,cellular,5,aug,875,2,-1,0,unknown,no
53,admin,married,secondary,no,225,yes,no,cellular,20,apr,304,1,340,1,failure,no
35,blue-collar,married,secondary,no,-339,yes,no,unknown,8,may,389,2,-1,0,unknown,no
57,admin,married,secondary,no,808,no,no,cellular,14,jul,417,3,-1,0,unknown,no
31,blue-collar,married,secondary,no,1243,yes,no,unknown,21,may,32,1,-1,0,unknown,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
43,blue-collar,married,primary,no,60,no,no,cellular,8,may,487,2,367,2,other,no
46,admin,married,secondary,no,556,yes,yes,unknown,15,may,646,3,-1,0,unknown,no
59,blue-collar,divorced,secondary,no,3573,no,no,cellular,15,may,44,1,-1,0,unknown,no
37,blue-collar,married,primary,no,543,yes,no,unknown,21,may,281,1,-1,0,unknown,no
28,admin,single,secondary,no,26,yes,no,cellular,7,may,227,2,-1,0,unknown,no
41,blue-collar,single,secondary,no,75,yes,no,unknown,1,jul,479,9,-1,0,unknown,no
53,management,married,tertiary,no,12,no,no,cellular,27,aug,345,10,-1,0,unknown,no
28,admin,single,secondary,no,775,no,no,cellular,29,jan,603,2,-1,0,unknown,no
30,blue-collar,single,secondary,yes,447,no,no,unknown,14,may,103,6,-1,0,unknown,no
38,services,single,secondary,no,2253,yes,no,cellular,13,may,937,3,-1,0,unknown,no
22,admin,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no
