blue-collar,married,secondary,no,yes,no,unknown,sep,unknown
management,single,tertiary,no,no,no,unknown,sep,unknown
technician,single,secondary,no,no,no,cellular,oct,unknown
admin.,married,secondary,no,yes,no,cellular,oct,other
self-employed,married,tertiary,no,yes,no,unknown,nov,failure
management,single,tertiary,no,no,no,cellular,nov,unknown
management,single,tertiary,no,no,no,cellular,jul,unknown
services,single,tertiary,no,no,no,unknown,jul,unknown
unemployed,married,tertiary,no,no,no,unknown,aug,unknown
self-employed,married,tertiary,no,no,no,cellular,aug,failure
unemployed,single,secondary,no,no,no,unknown,may,unknown
entrepreneur,married,tertiary,no,no,no,unknown,may,failure
admin.,married,secondary,no,no,no,cellular,jun,unknown
management,divorced,unknown,no,no,no,unknown,jun,success
admin.,married,secondary,no,no,no,cellular,jun,unknown
student,single,secondary,no,no,no,cellular,may,failure
services,single,unknown,no,yes,no,unknown,may,unknown
admin.,married,secondary,no,no,no,cellular,jul,success
management,single,tertiary,no,no,no,telephone,jan,other
unemployed,single,primary,no,no,no,cellular,jan,other
services,single,secondary,no,no,no,cellular,jan,unknown
services,single,secondary,no,no,no,cellular,feb,unknown
housemaid,married,secondary,no,no,no,cellular,feb,unknown
management,married,tertiary,no,no,no,cellular,feb,failure
housemaid,divorced,secondary,no,no,no,cellular,mar,unknown
services,married,secondary,no,yes,no,cellular,mar,unknown
technician,single,tertiary,no,yes,no,cellular,apr,failure
admin.,single,secondary,no,no,no,cellular,apr,unknown
